Action_Type,Location_or_Segment,Metric_1_Name,Metric_1_Value,Metric_2_Name,Metric_2_Value,Source_File,Is_NCR
Locality demand-supply gap,Lodhi Colony,AvgVotesPerRestaurant,171.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 41,AvgVotesPerRestaurant,33.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 14,AvgVotesPerRestaurant,32.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 62,AvgVotesPerRestaurant,118.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Green Park,AvgVotesPerRestaurant,235.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sushant Lok,AvgVotesPerRestaurant,53.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Netaji Subhash Place,AvgVotesPerRestaurant,211.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Saket,AvgVotesPerRestaurant,184.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 37,AvgVotesPerRestaurant,66.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Vasant Vihar,AvgVotesPerRestaurant,42.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Tilak Nagar,AvgVotesPerRestaurant,11.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Jangpura,AvgVotesPerRestaurant,55.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,DLF Phase 3,AvgVotesPerRestaurant,43.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Palam Vihar,AvgVotesPerRestaurant,15.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Laxmi Nagar,AvgVotesPerRestaurant,72.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Chittaranjan Park,AvgVotesPerRestaurant,109.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Civil Lines,AvgVotesPerRestaurant,106.0,Supply,1,locality_opportunity_flags.csv,0.0
Locality demand-supply gap,Paharganj,AvgVotesPerRestaurant,29.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Lajpat Nagar 1,AvgVotesPerRestaurant,25.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,"DLF Mall of India, Sector 18,  Noida",AvgVotesPerRestaurant,324.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Vijay Nagar,AvgVotesPerRestaurant,414.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 45,AvgVotesPerRestaurant,24.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,IP Extension,AvgVotesPerRestaurant,43.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Rajouri Garden,AvgVotesPerRestaurant,313.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Rajinder Nagar,AvgVotesPerRestaurant,83.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Paschim Vihar,AvgVotesPerRestaurant,58.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,R K Puram,AvgVotesPerRestaurant,96.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Nehru Place,AvgVotesPerRestaurant,103.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Malviya Nagar,AvgVotesPerRestaurant,192.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Moti Nagar,AvgVotesPerRestaurant,20.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,East Patel Nagar,AvgVotesPerRestaurant,95.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 18,AvgVotesPerRestaurant,358.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Preet Vihar,AvgVotesPerRestaurant,47.0,Supply,1,locality_opportunity_flags.csv,1.0
Cuisine pairing premium,Mediterranean + North Indian,rating_premium,0.5505757766763932,n_restaurants,49,cuisine_pair_premium.csv,
Cuisine pairing premium,European + North Indian,rating_premium,0.4164286768162055,n_restaurants,63,cuisine_pair_premium.csv,
Cuisine pairing premium,Asian + North Indian,rating_premium,0.3601717288621042,n_restaurants,88,cuisine_pair_premium.csv,
Cuisine pairing premium,American + North Indian,rating_premium,0.3572547292701467,n_restaurants,43,cuisine_pair_premium.csv,
Cuisine pairing premium,Chinese + Mexican,rating_premium,0.3462159452344782,n_restaurants,48,cuisine_pair_premium.csv,
Cuisine pairing premium,Asian + Chinese,rating_premium,0.3191392123201648,n_restaurants,65,cuisine_pair_premium.csv,
Cuisine pairing premium,Mexican + North Indian,rating_premium,0.314226274712257,n_restaurants,56,cuisine_pair_premium.csv,
Cuisine pairing premium,North Indian + Thai,rating_premium,0.309419966272916,n_restaurants,55,cuisine_pair_premium.csv,
Cuisine pairing premium,North Indian + Seafood,rating_premium,0.299740305545924,n_restaurants,35,cuisine_pair_premium.csv,
Cuisine pairing premium,Cafe + Italian,rating_premium,0.2732563396431002,n_restaurants,143,cuisine_pair_premium.csv,
Cuisine pairing premium,Cafe + Desserts,rating_premium,0.2638796856858287,n_restaurants,42,cuisine_pair_premium.csv,
Cuisine pairing premium,Chinese + Japanese,rating_premium,0.2622078782856953,n_restaurants,49,cuisine_pair_premium.csv,
Cuisine pairing premium,European + Italian,rating_premium,0.2601739388328985,n_restaurants,36,cuisine_pair_premium.csv,
Cuisine pairing premium,Cafe + Fast Food,rating_premium,0.2599108979467326,n_restaurants,65,cuisine_pair_premium.csv,
Cuisine pairing premium,Cafe + Continental,rating_premium,0.2542999183129693,n_restaurants,107,cuisine_pair_premium.csv,
Cuisine pairing premium,Bakery + Cafe,rating_premium,0.2500447778518966,n_restaurants,38,cuisine_pair_premium.csv,
Cuisine pairing premium,Finger Food + North Indian,rating_premium,0.2487159394042319,n_restaurants,41,cuisine_pair_premium.csv,
Cuisine pairing premium,Italian + North Indian,rating_premium,0.2427183454443735,n_restaurants,280,cuisine_pair_premium.csv,
Cuisine pairing premium,Chinese + Thai,rating_premium,0.2415100715998352,n_restaurants,173,cuisine_pair_premium.csv,
Cuisine pairing premium,American + Continental,rating_premium,0.2368902812245337,n_restaurants,46,cuisine_pair_premium.csv,
Cuisine pairing premium,Cafe + Chinese,rating_premium,0.2175324498164959,n_restaurants,84,cuisine_pair_premium.csv,
Cuisine pairing premium,Chinese + Italian,rating_premium,0.2157918766408952,n_restaurants,207,cuisine_pair_premium.csv,
Cuisine pairing premium,Italian + Mediterranean,rating_premium,0.204251469554697,n_restaurants,33,cuisine_pair_premium.csv,
Cuisine pairing premium,Chinese + Seafood,rating_premium,0.1995395361754828,n_restaurants,43,cuisine_pair_premium.csv,
Cuisine pairing premium,Continental + North Indian,rating_premium,0.1967296308350614,n_restaurants,440,cuisine_pair_premium.csv,
Cuisine pairing premium,American + Italian,rating_premium,0.1872735732372685,n_restaurants,56,cuisine_pair_premium.csv,
Cuisine pairing premium,Cafe + North Indian,rating_premium,0.1748328601423088,n_restaurants,68,cuisine_pair_premium.csv,
Cuisine pairing premium,Continental + European,rating_premium,0.1632149564076512,n_restaurants,36,cuisine_pair_premium.csv,
Cuisine pairing premium,Chinese + Continental,rating_premium,0.1483930075501813,n_restaurants,282,cuisine_pair_premium.csv,
Cuisine pairing premium,Biryani + Mughlai,rating_premium,0.1394491470607377,n_restaurants,34,cuisine_pair_premium.csv,
Cuisine pairing premium,Beverages + Desserts,rating_premium,0.1388224423048902,n_restaurants,37,cuisine_pair_premium.csv,
Cuisine pairing premium,Desserts + Fast Food,rating_premium,0.1327731429828174,n_restaurants,146,cuisine_pair_premium.csv,
Cuisine pairing premium,Continental + Italian,rating_premium,0.1241776592688039,n_restaurants,263,cuisine_pair_premium.csv,
Cuisine pairing premium,Chinese + Desserts,rating_premium,0.1214891091348224,n_restaurants,41,cuisine_pair_premium.csv,
Cuisine pairing premium,Continental + Mughlai,rating_premium,0.1101391929013342,n_restaurants,33,cuisine_pair_premium.csv,
Cuisine pairing premium,Asian + Continental,rating_premium,0.109501478822239,n_restaurants,66,cuisine_pair_premium.csv,
Cuisine pairing premium,Burger + Fast Food,rating_premium,0.0952541911997499,n_restaurants,132,cuisine_pair_premium.csv,
Cuisine pairing premium,Italian + Mexican,rating_premium,0.0944149970245207,n_restaurants,80,cuisine_pair_premium.csv,
Cuisine pairing premium,Continental + Mediterranean,rating_premium,0.09370609315074,n_restaurants,34,cuisine_pair_premium.csv,
Cuisine pairing premium,Asian + Italian,rating_premium,0.0849531436603188,n_restaurants,31,cuisine_pair_premium.csv,
Cuisine pairing premium,Desserts + North Indian,rating_premium,0.0830024950278227,n_restaurants,42,cuisine_pair_premium.csv,
Cuisine pairing premium,Continental + Mexican,rating_premium,0.0827625874531126,n_restaurants,47,cuisine_pair_premium.csv,
Cuisine pairing premium,Japanese + Thai,rating_premium,0.0728083948227191,n_restaurants,41,cuisine_pair_premium.csv,
Cuisine pairing premium,Finger Food + Italian,rating_premium,0.0685670847343709,n_restaurants,32,cuisine_pair_premium.csv,
Cuisine pairing premium,Beverages + Fast Food,rating_premium,0.0645008771338653,n_restaurants,68,cuisine_pair_premium.csv,
