Restaurant ID,Restaurant Name,Votes,Aggregate rating,Cred_Rating,shrinkage_weight,rank_raw,rank_cred,rank_change
301767,Aggarwal Sweets,11,2.7,3.231875512505125,0.8166666666666667,5776.0,5429.0,347.0
302103,Alag Khana Khazana,5,2.9,3.309491310190879,0.9074074074074074,5082.0,4258.0,824.0
310273,Bhape Di Hatti,7,3.1,3.319866620541205,0.875,4106.0,3750.0,356.0
308868,Bhappe Di Hatti,8,3.1,3.3160093114089033,0.8596491228070176,4106.0,4009.0,97.0
18372667,Bhatura King,7,2.9,3.2948666205412054,0.875,5082.0,4662.0,420.0
310728,Bhukkadzz Point,7,3.0,3.307366620541205,0.875,4617.0,4362.0,255.0
8564,Bimbos,16,3.1,3.2894235500047304,0.7538461538461538,4106.0,4784.0,-678.0
305486,Brothers' Bakery,21,2.9,3.2158932964329643,0.7,5082.0,5532.0,-450.0
18485858,Chaap Nation,4,3.0,3.324764731137877,0.9245283018867925,4617.0,3529.0,1088.0
18204802,Dev Burger,5,2.9,3.309491310190879,0.9074074074074074,5082.0,4258.0,824.0
310254,Green Chick Chop,6,3.0,3.3129551045510452,0.8909090909090909,4617.0,4096.0,521.0
310272,Green Chick Chop,16,3.2,3.314038934620115,0.7538461538461538,3596.0,4073.0,-477.0
302089,Hum Sabki Rasoi,26,3.3,3.3335004100040995,0.6533333333333333,3125.0,3304.0,-179.0
18034071,Janki Vaishno Dhaba,4,3.0,3.324764731137877,0.9245283018867925,4617.0,3529.0,1088.0
305785,Manmohan Food Plaza,10,2.6,3.223941199157754,0.8305084745762712,6026.0,5493.0,533.0
18268710,Mr.Hunger,5,3.0,3.3187505694501387,0.9074074074074074,4617.0,3823.0,794.0
308862,Neelma Punjabi Dhaba,8,2.9,3.2879391359703063,0.8596491228070176,5082.0,4805.0,277.0
308863,New Raj Kachori Bhandar,18,3.4,3.364366130601604,0.7313432835820896,2648.0,3086.0,-438.0
304319,Punjabi Ninja,7,3.0,3.307366620541205,0.875,4617.0,4362.0,255.0
