Locality,Price range,Supply,Demand,AvgVotesPerRestaurant,mean_Cred_Rating,locality_p75_threshold,percentile_rank,is_opportunity
Sector 18,4,4,1627,406.75,3.3364289859540923,389.491847826087,1.0,False
Sector 29,1,7,331,47.285714285714285,3.48124084356198,519.3041666666667,0.25,False
Sector 29,2,11,3313,301.1818181818182,3.4345194269080417,519.3041666666667,0.5,False
Sector 29,3,24,15106,629.4166666666666,3.888146128249075,519.3041666666667,1.0,False
Sector 29,4,5,2413,482.6,3.916569276696606,519.3041666666667,0.75,False
Sector 31,1,33,792,24.0,3.3072782409992065,69.75,0.5,False
Sector 31,2,19,1615,85.0,3.4280149912458997,69.75,1.0,False
Sector 37,1,30,2380,79.33333333333333,3.5094072213311494,74.66666666666666,1.0,False
Sector 37,2,14,596,42.57142857142857,3.3606712264570833,74.66666666666666,0.3333333333333333,False
Sector 37,3,1,70,70.0,2.968172527313508,74.66666666666666,0.6666666666666666,False
Sector 41,1,23,508,22.08695652173913,3.293702350156777,28.022644927536234,0.6666666666666666,False
Sector 41,2,24,815,33.958333333333336,3.325247804475957,28.022644927536234,1.0,False
Sector 41,3,1,6,6.0,3.3129551045510452,28.022644927536234,0.3333333333333333,False
Sector 45,1,26,123,4.730769230769231,3.291039502668396,57.16483516483516,0.5,False
Sector 45,2,14,1045,74.64285714285714,3.2812982205412267,57.16483516483516,1.0,False
Sector 50,1,14,286,20.428571428571427,3.283214599285076,153.90833333333333,0.3333333333333333,False
Sector 50,2,20,3103,155.15,3.04792723953442,153.90833333333333,1.0,False
Sector 50,3,3,458,152.66666666666666,3.182967775851456,153.90833333333333,0.6666666666666666,False
Sector 56,1,35,213,6.085714285714285,3.3219946089421426,20.021428571428572,0.5,False
Sector 56,2,24,592,24.666666666666668,3.229020303622201,20.021428571428572,1.0,False
Sector 62,1,48,917,19.104166666666668,3.3108205393046424,90.5625,0.3333333333333333,False
Sector 62,2,24,1101,45.875,3.1901792940884106,90.5625,0.6666666666666666,False
Sector 62,3,4,541,135.25,3.224622509662273,90.5625,1.0,False
Sector 72,1,35,108,3.085714285714286,3.300944054002198,16.44,0.3333333333333333,False
Sector 72,2,25,272,10.88,3.3289795592811555,16.44,0.6666666666666666,False
Sector 72,3,1,22,22.0,2.9635567711310915,16.44,1.0,True
Shahdara,1,75,531,7.08,3.290873764519267,10.395,0.5,False
Shahdara,2,12,138,11.5,3.269148963087513,10.395,1.0,False
Shalimar Bagh,1,52,1174,22.576923076923077,3.350518465847254,31.844230769230766,0.5,False
Shalimar Bagh,2,15,524,34.93333333333333,3.2626694378606897,31.844230769230766,1.0,False
Sohna Road,1,14,507,36.214285714285715,3.277669783980102,62.75535714285714,0.25,False
Sohna Road,2,20,1489,74.45,3.2963885863739493,62.75535714285714,1.0,False
Sohna Road,3,7,412,58.857142857142854,3.2727688349965787,62.75535714285714,0.75,False
Sohna Road,4,1,56,56.0,3.750595530955309,62.75535714285714,0.5,False
South Extension 2,1,19,500,26.31578947368421,3.3657756749645382,100.35,0.5,False
South Extension 2,2,15,1013,67.53333333333333,3.427669424235065,100.35,0.75,False
South Extension 2,3,5,994,198.8,3.512413032595604,100.35,1.0,False
South Extension 2,4,2,31,15.5,3.2962666331208763,100.35,0.25,False
Subhash Nagar,1,45,188,4.177777777777778,3.2926068047404864,4.05,1.0,False
Subhash Nagar,2,6,22,3.6666666666666665,3.306947903854038,4.05,0.5,False
Sushant Lok,1,11,340,30.90909090909091,3.4596840107329156,42.28333333333333,0.3333333333333333,False
Sushant Lok,2,15,556,37.06666666666667,3.3986065573707855,42.28333333333333,0.6666666666666666,False
Sushant Lok,3,4,190,47.5,3.465356311445885,42.28333333333333,1.0,False
Tagore Garden,1,27,215,7.962962962962963,3.3211053989212043,227.91666666666666,0.3333333333333333,False
Tagore Garden,2,6,131,21.833333333333332,3.3902268776238933,227.91666666666666,0.6666666666666666,False
Tagore Garden,3,3,1302,434.0,3.6890910973185655,227.91666666666666,1.0,False
"The Great India Place, Sector 38",1,13,411,31.615384615384617,3.1893322902593626,394.7083333333333,0.25,False
"The Great India Place, Sector 38",2,13,1921,147.76923076923077,3.2989229954513584,394.7083333333333,0.5,False
"The Great India Place, Sector 38",3,9,2671,296.77777777777777,3.3158930227732157,394.7083333333333,0.75,False
"The Great India Place, Sector 38",4,2,1377,688.5,2.865613848516416,394.7083333333333,1.0,True
Tilak Nagar,1,53,336,6.339622641509434,3.3091708819152994,83.16981132075472,0.6666666666666666,False
Tilak Nagar,2,7,24,3.4285714285714284,3.313058594995672,83.16981132075472,0.3333333333333333,False
Tilak Nagar,4,1,160,160.0,3.618241773924916,83.16981132075472,1.0,True
Udyog Vihar,1,22,44,2.0,3.3185021487018758,12.23076923076923,0.25,False
Udyog Vihar,2,13,95,7.3076923076923075,3.29070088356983,12.23076923076923,0.75,False
Udyog Vihar,3,1,7,7.0,3.269866620541205,12.23076923076923,0.5,False
Udyog Vihar,4,1,27,27.0,3.119901720398783,12.23076923076923,1.0,True
Uttam Nagar,1,54,261,4.833333333333333,3.303398145559293,6.458333333333333,0.5,False
Uttam Nagar,2,5,35,7.0,3.262582774198283,6.458333333333333,1.0,False
Vasant Vihar,1,22,326,14.818181818181818,3.3235190637419856,68.91666666666666,0.25,False
Vasant Vihar,2,9,485,53.888888888888886,3.2768606414596047,68.91666666666666,0.75,False
Vasant Vihar,3,4,139,34.75,3.384636692294372,68.91666666666666,0.5,False
Vasant Vihar,4,1,114,114.0,4.014800802149126,68.91666666666666,1.0,True
Vasundhara Enclave,1,56,291,5.196428571428571,3.3106496188344354,6.049107142857142,0.5,False
Vasundhara Enclave,2,6,38,6.333333333333333,3.230374929854096,6.049107142857142,1.0,False
Vijay Nagar,1,16,1699,106.1875,3.496560959680048,281.83,0.25,False
Vijay Nagar,2,25,12283,491.32,3.7039081504759044,281.83,1.0,False
Vijay Nagar,3,3,634,211.33333333333334,3.7095437155590543,281.83,0.5,False
Vijay Nagar,4,2,424,212.0,3.6365357332550596,281.83,0.75,False
Vikaspuri,1,41,854,20.829268292682926,3.2786111069059136,29.720588235294116,0.3333333333333333,False
Vikaspuri,2,17,407,23.941176470588236,3.2295029479213566,29.720588235294116,0.6666666666666666,False
Vikaspuri,3,2,71,35.5,3.3329155685956433,29.720588235294116,1.0,True
Vivek Vihar,1,29,433,14.931034482758621,3.240338039885978,60.83990147783251,0.5,False
Vivek Vihar,2,7,533,76.14285714285714,3.42596296348863,60.83990147783251,1.0,False
